ID,Время создания,Время изменения,"Проверяя статистическую гипотезу, мы можем уверенно (в пределах уровня значимости) сказать, что она","Проверяя статистическую гипотезу, мы можем уверенно (в пределах уровня значимости) сказать, что она / Баллы",Уровень значимости - это,Уровень значимости - это / Баллы,"Мы отвергаем гипотезу, когда","Мы отвергаем гипотезу, когда / Баллы",Выберите верные утверждения: / Можно одновременно минимизировать ошибки первого и второго рода,"Выберите верные утверждения: / Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",Выберите верные утверждения: / p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Выберите верные утверждения: / Если мы не отвергаем гипотезу, то p_value больше уровня значимости","Выберите верные утверждения: / Проверка гипотезы - это процедура, позволяющая из набора гипотез выбрать (принять) верные",Выберите верные утверждения: / Баллы,Набрано баллов,Всего баллов,Результат теста
1292543068,2023-01-15 18:25:10,2023-01-15 18:25:10,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value больше критического значения,,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),,,,2.0,5.0,Стоит задать вопрос по непонятным моментам
1291805687,2023-01-14 07:46:51,2023-01-14 07:46:51,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value больше уровня значимости,,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",,,"Проверка гипотезы - это процедура, позволяющая из набора гипотез выбрать (принять) верные",,2.0,5.0,Стоит задать вопрос по непонятным моментам
1289190310,2023-01-09 19:13:25,2023-01-09 19:13:25,Неверна,1.0,1 - Вероятность совершить ошибку второго рода (то есть принять неверную гипотезу),,p_value равно уровню значимости,,Можно одновременно минимизировать ошибки первого и второго рода,,p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,,1.0,5.0,Стоит задать вопрос по непонятным моментам
1289187129,2023-01-09 19:07:59,2023-01-09 19:07:59,Ничего не можем утверждать,,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",,"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,,2.0,5.0,Стоит задать вопрос по непонятным моментам
1289185850,2023-01-09 19:05:43,2023-01-09 19:05:43,Верна,,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,,p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,,2.0,5.0,Стоит задать вопрос по непонятным моментам
1289185589,2023-01-09 19:05:14,2023-01-09 19:05:14,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,2.0,5.0,5.0,Ты хорошо слушаешь лекции!
1289184759,2023-01-09 19:03:41,2023-01-09 19:03:41,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",,"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,,3.0,5.0,Ты хорошо слушаешь лекции!
1289184091,2023-01-09 19:02:35,2023-01-09 19:02:35,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,2.0,5.0,5.0,Ты хорошо слушаешь лекции!
1289107846,2023-01-09 16:52:13,2023-01-09 16:52:13,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",,"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,,3.0,5.0,Ты хорошо слушаешь лекции!
1282786249,2022-12-26 22:31:55,2022-12-26 22:31:55,Верна,,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,Можно одновременно минимизировать ошибки первого и второго рода,,,"Если мы не отвергаем гипотезу, то p_value больше уровня значимости","Проверка гипотезы - это процедура, позволяющая из набора гипотез выбрать (принять) верные",,2.0,5.0,Стоит задать вопрос по непонятным моментам
1282726555,2022-12-26 20:29:27,2022-12-26 20:29:27,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,2.0,5.0,5.0,Ты хорошо слушаешь лекции!
1282726526,2022-12-26 20:29:25,2022-12-26 20:29:25,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,,p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,,3.0,5.0,Ты хорошо слушаешь лекции!
1282726403,2022-12-26 20:29:11,2022-12-26 20:29:11,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,,p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,,3.0,5.0,Ты хорошо слушаешь лекции!
1282726276,2022-12-26 20:28:59,2022-12-26 20:28:59,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,2.0,5.0,5.0,Ты хорошо слушаешь лекции!
1282725322,2022-12-26 20:27:13,2022-12-26 20:27:13,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,2.0,5.0,5.0,Ты хорошо слушаешь лекции!
1282724832,2022-12-26 20:26:14,2022-12-26 20:26:14,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),,"Проверка гипотезы - это процедура, позволяющая из набора гипотез выбрать (принять) верные",,3.0,5.0,Ты хорошо слушаешь лекции!
1282724604,2022-12-26 20:25:48,2022-12-26 20:25:48,Неверна,1.0,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value больше уровня значимости,,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),,,,2.0,5.0,Стоит задать вопрос по непонятным моментам
1282724553,2022-12-26 20:25:43,2022-12-26 20:25:43,Верна,,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value меньше уровня значимости,1.0,,"Ошибку второго рода можно уменьшать при фиксированном уровне значимости, выбирая более мощный критерий",p_value для статистики можно получить при помощи моделирования (при известной нулевой гипотезе),"Если мы не отвергаем гипотезу, то p_value больше уровня значимости",,2.0,4.0,5.0,Ты хорошо слушаешь лекции!
1282724109,2022-12-26 20:24:57,2022-12-26 20:24:57,Ничего не можем утверждать,,Вероятность совершить ошибку первого рода (то есть отвергнуть верную гипотезу),1.0,p_value больше критического значения,,,,,"Если мы не отвергаем гипотезу, то p_value больше уровня значимости","Проверка гипотезы - это процедура, позволяющая из набора гипотез выбрать (принять) верные",,1.0,5.0,Стоит задать вопрос по непонятным моментам
